URL	Duration	Cateogry of exercise	Intensity	Focus	Group v individual	Instructor M/F	Class M/F/A (A=both)	Provider	Instructor	Rights to use? 
https://youtu.be/CBWQGb4LyAM	30	No-Equipment Cardio & HIIT Workout	High	cardio	Small group	F	F	POPSUGAR Fitness	Charlee Atkins	No
https://youtu.be/XJcoOdKlYqk	15	Booty Burn Workout	Low	strength	Instructor	F	-	MadFit	Maddie Lymburner	No
https://youtu.be/kwkXyHjgoDM	30	Hip-Hop dance Tabata 	Medium	core	Small group	F	F	POPSUGAR Fitness	Keaira LaShae	No
https://youtu.be/Q9MnfvJAg5s	24	Home Strength Workout - full body	Medium	cardio	Avatar	M	-	Spartan Apps	-	No
https://youtu.be/u7KijwYdmH4	18	Abs Workout	Low	core strength	Instructor	F	-	PsycheTruth	Joy Scola	No
https://youtu.be/ioELqxr-Q_w	7	Strength Workout for Runners	Medium	strength	Instructor	M	-	Mark Kennedy	Mark Kennedy	No
https://youtu.be/8paQv5BwRlk	15	Full Body Strength Workout	Medium	strength	Instructor	F	-	PsycheTruth	Dani Nicole	No
https://youtu.be/NrLMAjZ1oZg	45	Routine Safe For Recovering From foot/ankle Injury	Low	strength	Instructor	F	-	Caroline Jordan	Caroline Jordan	No
https://youtu.be/RqfkrZA_ie0	10	Booty Burn Workout	Medium	strength	Instructor	F	-	Pamela Reif	Pamela Reif	No
https://youtu.be/glxrwC9zsHY	15	Abs Workout	Medium	strength	Instructor	F	-	MadFit	Maddie Lymburner	No
https://youtu.be/1iMn9L6SIsw	15	Intense at home upper body	High	strength	Instructor	F	-	MadFit	Maddie Lymburner	No
https://youtube/mmq5zZfmIws	7	Tabata Songs - full body	High	cardio/strength	Instructor	F	-	Tabata Songs	Inger Houghton	No
https://youtu.be/RE5yzqSXDCI	10	Toned arms workout	Medium	strength	Instructor	F	-	MadFit	Maddie Lymburner	No
https://youtu.be/1RbdiqZHg3s	10	Intense at home upper body	High	strength	Duo	M	M	Anabolic Aliens	Mike Rosa	No
https://youtu.be/3p8EBPVZ2Iw	10	Abs Workout	Medium	strength	Instructor	M	-	OFFICIALTHENX	Chris Heria	No
https://youtu.be/uUKAYkQZXko	10	Abs Workout	Medium	strength	Instructor	M	-	Fraser Wilson	Fraser Wilson	No
https://youtu.be/JymqpqBGOj4	7	Abs workout	Medium	strength	Instructor	M	-	Frank Medrano	Frank Medrano	No
https://youtu.be/vI1Yf-MBczI	30	Full Body Strength Workout	Medium	cardio/strength	Duo	F	A	Self	Lisa Lewis	No
https://youtu.be/nF0uWCiKs30	7	Tabata Songs - full body	High	cardio/strength	Instructor	M	-	Tabata Songs	Ash Crawford	No
